gvkey,iid,datadate,tic,prccd,return,dollar
108132,1,20160518,SPY,204.91,1.019355365,10193.55365
108132,1,20160519,SPY,204.2,1.015823364,10158.23364
108132,1,20160520,SPY,205.49,1.022240662,10222.40662
108132,1,20160523,SPY,205.21,1.02084776,10208.4776
108132,1,20160524,SPY,207.87,1.034080327,10340.80327
108132,1,20160525,SPY,209.28,1.041094582,10410.94582
108132,1,20160526,SPY,209.34,1.041393061,10413.93061
108132,1,20160527,SPY,210.24,1.045870245,10458.70245
108132,1,20160531,SPY,209.84,1.043880386,10438.80386
108132,1,20160601,SPY,210.27,1.046019485,10460.19485
108132,1,20160602,SPY,210.91,1.04920326,10492.0326
108132,1,20160603,SPY,210.28,1.046069231,10460.69231
108132,1,20160606,SPY,211.35,1.051392106,10513.92106
108132,1,20160607,SPY,211.68,1.05303374,10530.3374
108132,1,20160608,SPY,212.37,1.056466248,10564.66248
108132,1,20160609,SPY,212.08,1.0550236,10550.236
108132,1,20160610,SPY,210.07,1.045024555,10450.24555
108132,1,20160613,SPY,208.4492,1.036961643,10369.61643
108132,1,20160614,SPY,208.04,1.034926017,10349.26017
108132,1,20160615,SPY,207.75,1.033483369,10334.83369
108132,1,20160616,SPY,208.37,1.036567651,10365.67651
108132,1,20160617,SPY,206.52,1.02736455,10273.6455
108132,1,20160620,SPY,207.85,1.033980834,10339.80834
108132,1,20160621,SPY,208.44,1.036915877,10369.15877
108132,1,20160622,SPY,208.1,1.035224496,10352.24496
108132,1,20160623,SPY,210.81,1.048705795,10487.05795
108132,1,20160624,SPY,203.13,1.01050049,10105.0049
108132,1,20160627,SPY,199.6,0.9929399779,9929.399779
108132,1,20160628,SPY,203.1997,1.010847223,10108.47223
108132,1,20160629,SPY,206.66,1.028061001,10280.61001
108132,1,20160630,SPY,209.475,1.042064639,10420.64639
108132,1,20160701,SPY,209.9208,1.044282337,10442.82337
108132,1,20160705,SPY,208.41,1.036766637,10367.66637
108132,1,20160706,SPY,209.66,1.042984949,10429.84949
108132,1,20160707,SPY,209.526,1.042318346,10423.18346
108132,1,20160708,SPY,212.65,1.05785915,10578.5915
108132,1,20160711,SPY,213.4,1.061590137,10615.90137
108132,1,20160712,SPY,214.95,1.069300843,10693.00843
108132,1,20160713,SPY,214.92,1.069151603,10691.51603
108132,1,20160714,SPY,216.12,1.075121182,10751.21182
108132,1,20160715,SPY,215.83,1.073678534,10736.78534
108132,1,20160718,SPY,216.4092,1.076559851,10765.59851
108132,1,20160719,SPY,216.19,1.075469408,10754.69408
108132,1,20160720,SPY,217.085,1.079921719,10799.21719
108132,1,20160721,SPY,216.265,1.075842507,10758.42507
108132,1,20160722,SPY,217.24,1.08069279,10806.9279
108132,1,20160725,SPY,216.65,1.077757747,10777.57747
108132,1,20160726,SPY,216.75,1.078255211,10782.55211
108132,1,20160727,SPY,216.52,1.077111042,10771.11042
108132,1,20160728,SPY,216.77,1.078354704,10783.54704
108132,1,20160729,SPY,217.12,1.080095832,10800.95832
108132,1,20160801,SPY,216.94,1.079200395,10792.00395
108132,1,20160802,SPY,215.5492,1.072281653,10722.81653
108132,1,20160803,SPY,216.18,1.075419661,10754.19661
108132,1,20160804,SPY,216.4097,1.076562338,10765.62338
108132,1,20160805,SPY,218.18,1.08536896,10853.6896
108132,1,20160808,SPY,218.05,1.084722255,10847.22255
108132,1,20160809,SPY,218.18,1.08536896,10853.6896
108132,1,20160810,SPY,217.64,1.082682649,10826.82649
108132,1,20160811,SPY,218.65,1.087707045,10877.07045
108132,1,20160812,SPY,218.46,1.086761862,10867.61862
108132,1,20160815,SPY,219.09,1.089895891,10898.95891
108132,1,20160816,SPY,217.96,1.084274537,10842.74537
108132,1,20160817,SPY,218.37,1.086314143,10863.14143
108132,1,20160818,SPY,218.86,1.088751721,10887.51721
108132,1,20160819,SPY,218.54,1.087159833,10871.59833
108132,1,20160822,SPY,218.53,1.087110087,10871.10087
108132,1,20160823,SPY,218.97,1.089298933,10892.98933
108132,1,20160824,SPY,217.85,1.083727326,10837.27326
108132,1,20160825,SPY,217.7,1.082981128,10829.81128
